userId,movieId,pred_rating,genres
1,3,2.862020622,Comedy|Romance
1,6,1.386264204,Action|Crime|Thriller
1,47,3.038178466,Mystery|Thriller
1,110,3.959355951,Action|Drama|War
1,151,0.814925145,Action|Drama|Romance|War
1,163,3.97770049,Action|Romance|Western
1,223,3.439851314,Comedy
1,356,0.286081485,Comedy|Drama|Romance|War
1,362,2.456115112,Adventure|Children|Romance
1,367,4.459179238,Action|Comedy|Crime|Fantasy
1,457,0.431685029,Thriller
1,553,1.227191863,Action|Drama|Western
1,593,4,Crime|Horror|Thriller
1,596,5,Animation|Children|Fantasy|Musical
1,923,5,Drama|Mystery
1,940,5,Action|Adventure|Romance
1,1076,4.253053654,Drama|Horror|Thriller
1,1219,2,Crime|Horror
1,1220,5,Action|Comedy|Musical
1,1222,5,Drama|War
1,1224,5,Action|Drama|Romance|War
1,1226,5,Drama|Romance
1,1240,5,Action|Sci-Fi|Thriller
1,1256,5,Comedy|Musical|War
1,1258,3,Horror
1,1265,4,Comedy|Fantasy|Romance
1,1270,5,Adventure|Comedy|Sci-Fi
1,1275,5,Action|Adventure|Fantasy
1,1278,5,Comedy|Fantasy
1,1282,5,Animation|Children|Fantasy|Musical
1,1291,5,Action|Adventure
1,1298,5,Drama|Musical
1,1348,4,Horror
1,1377,3,Action|Crime
1,1396,3,Action|Comedy|Crime|Drama|Sci-Fi
1,1408,3,Action|Romance|War|Western
1,1445,3,Comedy|War
1,1473,4,Action|Comedy|Crime|Drama
1,1500,4,Comedy|Crime|Romance
1,1517,5,Action|Adventure|Comedy
1,1552,4,Action|Adventure|Thriller
1,1573,5,Action|Crime|Drama|Thriller
1,1580,3,Action|Comedy|Sci-Fi
1,1587,5,Action|Adventure|Fantasy
1,1617,5,Crime|Film-Noir|Mystery|Thriller
1,1620,4,Crime|Drama|Mystery|Thriller
1,1625,5,Drama|Mystery|Thriller
1,1644,3,Horror|Mystery|Thriller
1,1676,3,Action|Sci-Fi
1,1732,5,Comedy|Crime
1,1777,4,Comedy|Romance
1,1793,4,Comedy
1,1804,5,Crime|Drama
1,1805,4,Crime|Drama|Mystery|Thriller
1,1920,4,Animation|Children|Fantasy|War
1,1927,5,Action|Drama|War
1,1954,5,Drama
1,1967,4,Adventure|Fantasy|Musical
1,2000,4,Action|Comedy|Crime|Drama
1,2005,5,Action|Adventure|Children|Comedy|Fantasy
1,2012,4,Adventure|Comedy|Sci-Fi|Western
1,2018,5,Animation|Children|Drama
1,2028,4,Action|Drama|War
1,2033,5,Adventure|Animation|Children|Fantasy
1,2046,4,Adventure|Children|Sci-Fi
1,2048,5,Action|Animation|Children|Crime
1,2054,4,Adventure|Children|Comedy|Fantasy|Sci-Fi
1,2058,5,Action|Crime|Drama|Mystery|Thriller
1,2078,5,Animation|Children|Comedy|Musical
1,2090,5,Adventure|Animation|Children|Crime|Drama
1,2093,3,Adventure|Children|Fantasy
1,2094,5,Action|Adventure|Sci-Fi
1,2096,4,Animation|Children|Musical
1,2099,4,Adventure|Animation|Children|Musical
1,2105,4,Action|Adventure|Sci-Fi
1,2115,5,Action|Adventure|Fantasy
1,2116,5,Adventure|Animation|Children|Fantasy
1,2137,5,Animation|Children
1,2139,5,Adventure|Animation|Children|Drama
1,2141,5,Adventure|Animation|Children|Comedy
1,2143,4,Adventure|Fantasy|Romance
1,2161,5,Adventure|Children|Fantasy
1,2174,4,Comedy|Fantasy
1,2193,4,Action|Adventure|Fantasy
1,2253,2,Comedy|Fantasy
1,2268,4,Crime|Drama|Thriller
1,2273,4,Action|Comedy|Crime|Thriller
1,2291,5,Drama|Fantasy|Romance
1,2329,5,Crime|Drama
1,2338,2,Horror|Mystery|Thriller
1,2353,5,Action|Thriller
1,2366,4,Action|Adventure|Fantasy|Horror
1,2387,5,Comedy|Crime
1,2389,2,Crime|Horror|Thriller
1,2395,2,Crime|Horror|Thriller
1,2406,5,Comedy|Drama
1,2414,5,Comedy|Drama
1,2427,4,Action|Adventure|Comedy|Romance
1,2450,3,Action|Adventure|Children|Fantasy|Mystery|Thriller
1,2459,5,Action|Drama|War
1,2939,4,Adventure|Comedy|Sci-Fi
1,3338,5,Horror
1,3456,4.253053654,Drama|Thriller
1,4194,4.253053654,Documentary
1,5721,4.253053654,Drama
1,6668,4.253053654,Drama|Romance|War
